dateCreated	nPosts
2012-08-18	5273
2010-12-11	77
2012-08-19	5123
2010-12-14	112
2012-08-16	6530
2010-12-13	112
2012-08-17	7060
2012-08-14	5491
2012-08-15	4217
2010-12-10	107
2012-08-12	5170
2012-08-13	4990
2010-12-19	57
2010-12-16	74
2010-12-15	62
2010-12-18	92
2010-12-17	107
2012-08-21	8041
2012-08-22	8271
2012-08-20	7865
2013-03-01	45
2013-03-02	55
2010-12-23	71
2012-08-29	10254
2010-12-22	83
2010-12-25	67
2012-08-27	9202
2010-12-24	55
2012-08-28	9803
2012-08-25	6297
2012-08-26	6400
2010-12-21	88
2012-08-23	8548
2010-12-20	87
2012-08-24	8432
2016-06-12	23
2016-06-13	44
2016-06-10	27
2016-06-11	22
2010-12-27	44
2010-12-26	39
2010-12-29	121
2010-12-28	71
2014-05-21	96
2014-05-20	51
2014-05-23	45
2014-05-22	47
2014-05-25	48
2014-05-24	43
2014-05-16	67
2014-05-15	64
2014-05-18	64
2014-05-17	78
2014-05-19	98
2016-06-09	25
2016-06-07	14
2016-06-08	18
2010-12-30	105
2011-02-27	86
2016-06-05	23
2016-06-06	16
2011-02-26	104
2016-06-03	41
2011-02-28	151
2010-12-31	51
2016-06-04	38
2016-06-23	22
2016-06-24	24
2016-06-21	26
2016-06-22	22
2016-06-20	28
2014-05-30	40
2014-05-31	52
2014-05-27	39
2014-05-26	34
2014-05-29	52
2014-05-28	69
2012-08-07	8531
2012-08-08	8321
2012-08-05	5856
2016-06-18	21
2012-08-06	8169
2016-06-19	12
2016-06-16	16
2012-08-03	8203
2012-08-04	6343
2016-06-17	13
2016-06-14	49
2012-08-01	66
2016-06-15	27
2012-08-02	67
2011-02-12	77
2011-02-11	105
2011-02-14	125
2011-02-13	115
2011-02-10	83
2011-02-09	75
2011-02-08	92
2011-02-05	82
2011-02-04	75
2011-02-07	111
2011-02-06	67
2016-06-01	37
2011-02-23	116
2011-02-22	98
2016-06-02	26
2011-02-25	116
2011-02-24	128
2011-02-21	134
2011-02-20	88
2011-02-19	107
2011-02-16	102
2011-02-15	100
2011-02-18	87
2011-02-17	122
2017-01-10	40
2017-01-11	52
2017-01-14	20
2017-01-15	39
2017-01-12	67
2017-01-13	49
2017-01-18	26
2017-01-19	16
2010-07-30	54
2017-01-16	26
2017-01-17	23
2010-07-31	84
2016-02-07	1866
2016-02-08	405
2016-02-09	40
2016-02-03	2834
2016-02-04	2910
2016-02-05	2753
2016-02-06	1734
2016-02-01	2905
2016-02-02	2998
2010-07-25	64
2017-01-21	14
2010-07-24	82
2017-01-22	29
2010-07-27	100
2010-07-26	101
2017-01-20	32
2016-02-20	32
2010-07-29	54
2017-01-25	59
2010-07-28	62
2017-01-26	32
2017-01-23	37
2017-01-24	36
2017-01-29	29
2017-01-27	30
2017-01-28	22
2010-07-21	67
2010-07-20	11786
2010-07-23	59
2010-07-22	67
2016-02-18	33
2016-02-19	37
2016-02-14	78
2016-02-15	57
2016-02-16	35
2016-02-17	69
2016-02-10	30
2016-02-11	44
2016-02-12	35
2016-02-13	56
2010-07-14	8285
2010-07-13	10101
2010-07-16	10290
2010-07-15	10054
2010-07-18	6211
2010-07-17	6744
2010-07-19	11190
2010-07-10	5794
2014-05-01	112
2010-07-12	10381
2014-05-03	99
2010-07-11	6284
2014-05-02	114
2010-07-03	12206
2010-07-02	21710
2010-07-05	11846
2010-07-04	6002
2010-07-07	11343
2017-01-03	39
2010-07-06	12437
2017-01-04	43
2010-07-09	9972
